V1	V2	V3
-36.60000	-1344.08000	-0.44000
-39.41000	3614.50000	-0.47000
6.10000	-126.12000	-0.08000
8.51000	434.20000	0.10700
-4.98000	398.85000	-0.08500
19.22000	166.33000	-0.09000
13.99000	-151.19000	-0.09300
32.81000	666.63000	-0.09100
24.10000	6467.75000	2.67000
45.00000	2205.50000	2.58000
1111.11000	3741.61000	4.46000
23.88000	3437.46000	3.92000
40.93000	187.59000	4.07000
36.23000	39582.23000	2.74000
42.16000	448.17000	-0.16000
15.25000	2742.19000	0.82000
33.30000	4121.64000	0.55000
18.12000	3315.09000	0.40000
29.92000	1315.73000	-2.60000
23.70000	-439.91000	4.38000
76.97000	992.24000	7.91000
24.77000	1279.51000	7.22000
-11.64000	3410.44000	3.35000
22.13000	-583.36000	4.17000
24.02000	578.46000	3.95000
-14.02000	4453.01000	0.81000
59.96000	-1252.77000	-0.42000
56.98000	39858.26000	-0.45000
-36.10000	33601.66000	-0.38000
-28.34000	6637.49000	-0.30000
-33.15000	20851.74000	0.72000
47.01000	-855.88000	3.26000
31.78000	-1043.78000	0.40000
-24.71000	2125.31000	-0.31000
-34.12000	-1164.98000	-0.39000
42.80000	-1034.47000	-0.34000
-35.73000	71339.54000	0.46000
47.16000	-1204.17000	-0.42000
-26.35000	2340.19000	-0.34000
-31.83000	1519.16000	-0.40000
-34.68000	-1214.74000	-0.39000
-33.96000	-1205.01000	-0.42000
-29.48000	-1018.05000	-0.34000
49.43000	-1035.26000	-0.38000
59.93000	-1131.01000	-0.39000
57.60000	-1116.94000	-0.37000
-26.55000	-997.02000	-0.37000
-29.25000	-1042.99000	-0.35000
26.97000	-961.39000	0.49000
363.17000	-1721.12000	-0.54000
-24.24000	-869.47000	-0.29000
43.77000	-835.11000	0.33000
-26.84000	1205.27000	-0.31000
30.53000	-786.68000	-0.30000
26.63000	-849.86000	0.35000
-17.94000	-675.47000	0.40000
20.11000	-744.30000	-0.27000
33.20000	-910.85000	-0.32000
34.04000	-1022.62000	-0.39000
-26.91000	-1045.57000	-0.38000
-29.23000	1741.22000	-0.39000
-30.08000	1335.68000	-0.40000
43.77000	-879.92000	-0.30000
-22.62000	-813.63000	-0.30000
-21.06000	-733.30000	-0.24000
45.89000	1053.90000	-0.29000
-12.09000	2103.31000	-0.13000
35.71000	171.24000	0.44000
59.73000	733.34000	0.17800
19.02000	472.26000	-0.12800
-14.36000	396.81000	-0.18900
71.65000	581.41000	-0.19400
31.51000	-178.78000	1.89000
45.46000	-145.08000	1.27000
25.47000	-137.99000	0.84000
28.40000	-158.24000	1.00000
21.01000	-754.55000	0.76000
-22.42000	-735.98000	7.38000
29.50000	-801.43000	2.50000
28.81000	-754.35000	-0.22100
-24.16000	-737.76000	0.33000
41.70000	-741.79000	1.31000
28.86000	-855.95000	5.01000
37.16000	-801.45000	8.76000
-25.87000	1057.55000	3.90000
-34.63000	-1021.09000	0.35000
35.72000	-785.69000	2.71000
25.49000	-668.23000	8.29000
-29.72000	-825.03000	1.92000
21.62000	-736.24000	0.57000
28.07000	-715.59000	-0.24000
-22.74000	914.47000	0.38000
25.97000	-695.72000	2.25000
27.20000	-692.74000	0.22000
-24.00000	-776.58000	0.31000
36.83000	976.43000	3.75000
-15.95000	-97.65000	-0.19400
-17.38000	200.46000	-0.15100
-19.64000	-100.32000	-0.22300
-17.60000	410.56000	0.46000
-17.60000	241.42000	-0.15500
67.30000	-111.78000	-0.20800
-16.88000	-121.68000	-0.20000
-16.92000	-142.94000	-0.25000
20.06000	117.61000	0.15500
-18.78000	151.71000	-0.18900
21.83000	251.65000	-0.13400
-15.09000	-127.11000	-0.20200
-15.76000	165.74000	-0.20000
-15.85000	-133.21000	0.17400
-15.74000	135.81000	-0.20200
-17.46000	103.47000	-0.23000
28.08000	115.18000	-0.16200
-16.57000	-142.32000	0.23000
-15.99000	201.98000	-0.21000
-28.37000	-185.26000	-0.20200
495.12000	-205.78000	0.29000
224.89000	404.70000	0.53000
96.38000	263.95000	-0.14900
100.27000	934.97000	0.36000
-32.84000	-255.27000	0.46000
-28.66000	-248.95000	0.25000
30.01000	-231.89000	0.24100
-27.40000	-179.45000	-0.14600
94.13000	254.11000	0.36000
-28.26000	179.65000	-0.15400
-31.38000	209.78000	-0.24000
-28.12000	-223.46000	0.19900
-30.62000	277.79000	-0.13000
-28.52000	-193.21000	-0.13100
-28.14000	-179.25000	-0.14900
-26.69000	-194.33000	-0.12800
-31.31000	-202.12000	0.18000
-29.35000	305.77000	0.24100
65.24000	472.48000	0.37800
85.31000	-178.91000	0.77000
109.29000	511.65000	0.50000
62.82000	271.85000	-0.18100
150.03000	592.64000	-0.19500
-21.30000	-215.80000	-0.22100
-20.28000	-239.44000	0.17500
-20.51000	-213.13000	-0.14700
-18.76000	190.41000	0.20000
-18.95000	-188.20000	-0.13100
-20.77000	-214.47000	-0.16100
